"model","model.formula","bh","WT","SPCD","nobs","B1","B2","B3","seB1","seB2","seB3","pB1","pB2","pB3","RMSE","AIC","meanBIAS","meanAbsBIAS","meanLowDBHRes","meanMidDBHRes","meanUppDBHRes","B3_test","ierr","notes"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,621,170333,5.07602287951027,-10.8713027234495,3.37946536210497,0.00219204422798896,0.0431020883228945,0.0168961551584064,0,0,0,3.68148114362367,1279197.24665309,-0.0278233694209033,8.58155206726445,-0.268931682292019,0.622434192551716,-0.436979824772281,0,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,654,1451,4.61311489671284,-5.72170627478901,1.49727829894911,0.036410131159091,0.38816298177862,0.152080687594643,0,6.3255957096833e-46,3.50641495779083e-22,3.66235734709447,9920.29945314649,0.00106206355136883,6.29669119873834,-0.0197967947172074,0.425445249375078,-0.403297718098082,0.00110139618079281,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,403,65676,5.04752531090925,-11.512380469404,3.28729433431041,0.00451777606147675,0.0843339127580529,0.0303169890181669,0,0,0,3.60692391613516,485025.185605306,0.0144264682929744,7.98709530637002,0.273364337061576,-0.280129757706758,0.0500448255241054,0,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,840,3354,4.12692113277236,-5.02015745230694,1.29424500589358,0.0254279984824254,0.25676013417266,0.107313630016434,0,1.06027962561774e-80,8.09751583348867e-33,2.91009149060506,21026.0314136748,0.0166972775561257,4.94717694255197,0.0222908320085318,0.0621295993773149,-0.0343285987174696,0.00614062917660698,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,808,282,4.97238205127975,-16.1883278723423,4.93144194702872,0.101001362454899,2.29334593063659,0.739117628989788,1.34512316350702e-139,1.33370303698116e-11,1.3535503410729e-10,4.03383815613413,2079.08116777875,-0.0444429642389386,8.10680092435926,-0.277251168648285,0.491527078628637,-0.347604802697168,2.14194541339035e-07,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,711,63653,4.49016147417136,-6.40011033561975,2.02569685288843,0.00693103277245079,0.0853850150457998,0.0356427149943957,0,0,0,3.42949158627694,440745.229622794,-0.00831540804462049,6.34703007154862,-0.0283002653202226,-0.0187803869898504,0.0221358633384032,6.02060389234786e-181,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,68,107559,4.28901655751337,-8.07548988907335,2.5305059255932,0.00592948446144398,0.0848106113241565,0.0333094088899909,0,0,0,2.80708195418909,715305.754468931,-0.0108429395176543,5.5608933901896,-0.0702686109675104,0.15025969991857,-0.112519907504022,0,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,222,32428,4.85281126948701,-10.4321753393858,2.90342638016202,0.00941872351442894,0.160994160395434,0.0590467135957804,0,0,0,4.37338798134329,249188.960946649,-0.0035049742979061,9.34001194928294,-0.0289876706930453,0.33957294838658,-0.321097843042948,1.95237022587947e-224,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,373,7190,4.60905385778148,-6.15974212718734,1.95085005339764,0.0125393331124964,0.177865702264009,0.0861977530191442,0,3.48959460285892e-243,1.31551519051632e-109,3.79126330918498,53892.119548018,-0.0432943578143038,8.27838072162344,-0.231735894432242,0.423054814528547,-0.321317981701038,4.54344209284734e-28,0,"fit"
5,"HT = bh + exp(B1+B2/(DBH+B3))",4.5,NA,545,2301,4.90456022422093,-10.320735460161,3.21947125467444,0.0288544823467815,0.505802782833823,0.191515104260161,0,3.43837616560928e-85,6.68686945414811e-60,3.89240907174456,17008.9515198597,0.0126526728798072,8.19604133178924,-0.0271892200382077,-0.049204453902239,0.114351692579868,3.18724097281735e-30,0,"fit"
